"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.70186107816223e-54,4.73686627067169,0.387,0.014,9.6419598837513e-50,"8","CACNA2D3"
2.33856427709485e-30,4.60970724820412,0.258,0.012,2.92764861849504e-26,"8","LGMN"
1.56958570005664e-38,4.57085631923276,0.355,0.017,1.96496433790091e-34,"8","NDRG2"
2.88998457410524e-56,4.53599756202111,0.484,0.021,3.61797168832235e-52,"8","HLA-DQB2"
7.32054495426664e-222,11.2426244900209,0.385,0,9.1645902282464e-218,"9","CLDN5"
6.47635837009271e-266,10.9795900841871,0.462,0,8.10775304351906e-262,"9","CMTM5"
7.31926516649191e-222,10.4650169113574,0.385,0,9.16298806193123e-218,"9","AP001189.4"
7.81952683761077e-178,10.4650169113574,0.308,0,9.78926564800492e-174,"9","SEPT5"
1.78854484822127e-102,10.1670268711268,1,0.024,2.23907929548821e-98,"9","PPBP"
0,10.0726994885786,0.923,0.002,0,"9","GP9"
9.20701644173455e-186,10.0437204216068,1,0.011,1.15262638834075e-181,"9","PF4"
7.8181605687902e-178,9.97959008418712,0.308,0,9.78755521606845e-174,"9","LY6G6F"
2.91998587141546e-316,9.92069639513355,0.769,0.002,3.65553031242501e-312,"9","TMEM40"
4.87935162664371e-200,9.63166678076681,1,0.01,6.10846030139526e-196,"9","GNG11"
