"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.93231633732828e-44,0.435446935109174,0.993,0.968,6.17476682270127e-40,"0","RPL27"
8.36652572210199e-44,0.480602470488133,0.997,0.964,1.04740535514995e-39,"0","RPL24"
2.11364362382327e-43,0.409483326067477,1,0.986,2.64607045266435e-39,"0","RPL35"
5.88689142119447e-43,0.571737738231534,0.951,0.846,7.36979937019335e-39,"0","RPS21"
7.79406567909943e-43,1.04675838437677,0.722,0.458,9.75739082366458e-39,"0","C6orf48"
1.34492249957514e-41,0.514772572840124,0.982,0.909,1.68370847721812e-37,"0","RPS26"
2.46160667158466e-41,0.594874125248374,0.965,0.853,3.08168539215683e-37,"0","BTG1"
3.59673221892285e-41,0.473548913715109,0.996,0.965,4.50274906486951e-37,"0","RPL37"
8.05774837185585e-41,1.85909696295347,0.285,0.081,1.00874951867263e-36,"0","MAL"
5.65630715344702e-39,0.425343235135055,0.996,0.966,7.08113092540032e-35,"0","RPL37A"
3.26477824728459e-38,0.338633928802507,1,0.999,4.08717588777557e-34,"0","RPL6"
5.86003154865865e-38,0.321320313558198,1,1,7.33617349576577e-34,"0","RPL15"
8.86462672666075e-38,0.414050737049658,0.997,0.991,1.10976261991066e-33,"0","RPL7A"
2.44825347040015e-37,1.36530944127275,0.403,0.167,3.06496851959394e-33,"0","TCF7"
6.27260184674128e-37,0.920193581666342,0.688,0.405,7.85267025193541e-33,"0","AES"
3.66054763522213e-36,0.493705631870529,0.926,0.622,4.58263958453458e-32,"0","LTB"
3.44001378050437e-34,0.314649614915937,1,0.997,4.30655325181342e-30,"0","RPL26"
1.16511635873799e-32,0.613638013684632,0.879,0.731,1.4586091695041e-28,"0","TOMM7"
1.30473878629817e-32,0.512078983341434,0.962,0.864,1.63340248656667e-28,"0","RPS4Y1"
1.65348850684935e-30,0.309742738761569,1,0.995,2.07000226172471e-26,"0","RPS9"
1.40003148733701e-29,0.282006682202222,1,0.998,1.7526994189972e-25,"0","RPL29"
2.51608702417738e-29,1.06077223678575,0.412,0.197,3.14988934556767e-25,"0","LEPROTL1"
2.58739125509141e-29,0.326126503724843,1,0.999,3.23915511224893e-25,"0","RPS7"
5.31694089029696e-29,1.1938778494874,0.381,0.173,6.65627830056277e-25,"0","RGCC"
2.77017207062437e-28,0.826245820613215,0.581,0.354,3.46797841521464e-24,"0","TMEM123"
1.37471228639926e-26,1.27201752122021,0.304,0.125,1.72100231134323e-22,"0","TRAT1"
3.20130796039254e-26,1.20142335631178,0.444,0.243,4.00771743561543e-22,"0","C12orf57"
5.86841369851799e-24,1.34049486514664,0.294,0.127,7.34666710917467e-20,"0","FLT3LG"
1.14244069717119e-23,0.773017398753102,0.522,0.297,1.43022150878861e-19,"0","LCK"
1.44495649136822e-22,1.40378358908738,0.256,0.105,1.80894103154388e-18,"0","AAK1"
2.05256749675089e-22,0.538149666442855,0.61,0.408,2.56960924918244e-18,"0","SELL"
2.58853799053023e-22,1.04819514811844,0.457,0.266,3.2405907103448e-18,"0","NDFIP1"
1.02185301207609e-21,0.642124897392117,0.668,0.455,1.27925778581806e-17,"0","EVL"
1.48130991323031e-21,0.700548514569701,0.421,0.229,1.85445188037302e-17,"0","GIMAP5"
2.31228774447992e-21,1.1827663004598,0.254,0.107,2.89475302731441e-17,"0","MYC"
5.62131817011188e-21,0.812557122072396,0.351,0.171,7.03732821716306e-17,"0","CD3G"
