"cluster","ID","Description","GeneRatio","pvalue","p.adjust","Count","geneID"
"3","GO:0048002","antigen processing and presentation of peptide antigen","12/46",3.64210848711305e-11,2.99259914024455e-09,12,"HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0006955","immune response","31/46",1.20365538634193e-10,9.12926316102415e-09,31,"VPREB3/CD79A/FCRLA/FCER2/MS4A1/CD72/HLA-DOB/BLK/CD79B/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/IRF8/MEF2C/HVCN1/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37/LY86/NCF1/STX7/BIRC3/PRKCB"
"3","GO:0002684","positive regulation of immune system process","25/46",1.92234175101423e-10,1.3538778332143e-08,25,"CD79A/FCER2/MS4A1/CD72/HLA-DOB/BLK/CD79B/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37/STX7/BIRC3/PRKCB"
"3","GO:0002250","adaptive immune response","19/46",4.21100350903653e-10,2.76803297327334e-08,19,"CD79A/FCER2/HLA-DOB/CD79B/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/STX7/PRKCB"
"3","GO:0019882","antigen processing and presentation","13/46",6.0208165877611e-10,3.71032822220778e-08,13,"FCER2/HLA-DOB/HLA-DQB1/HLA-DQA1/HLA-DQA2/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0046649","lymphocyte activation","21/46",6.49047778987529e-09,3.76447711812767e-07,21,"CD79A/MS4A1/HLA-DOB/CD79B/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/IRF8/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37/PRKCB"
"3","GO:0002682","regulation of immune system process","26/46",1.55972849264486e-08,8.54384607637687e-07,26,"CD79A/FCER2/MS4A1/CD72/HLA-DOB/BLK/CD79B/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37/NCF1/STX7/BIRC3/PRKCB"
"3","GO:0045321","leukocyte activation","22/46",2.60093642926563e-08,1.34974911539785e-06,22,"CD79A/FCER2/MS4A1/HLA-DOB/CD79B/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/IRF8/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37/PRKCB"
"3","GO:0051251","positive regulation of lymphocyte activation","14/46",3.74874958727663e-08,1.84813354652738e-06,14,"HLA-DOB/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0002696","positive regulation of leukocyte activation","14/46",8.39205557908915e-08,3.94026990522947e-06,14,"HLA-DOB/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1"
"3","GO:0002376","immune system process","31/46",1.0133969181297e-07,4.35942186063775e-06,31,"VPREB3/CD79A/FCRLA/FCER2/MS4A1/CD72/HLA-DOB/BLK/CD79B/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/IRF8/MEF2C/HVCN1/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37/LY86/NCF1/STX7/BIRC3/PRKCB"
"3","GO:0051249","regulation of lymphocyte activation","16/46",1.01690367945911e-07,4.35942186063775e-06,16,"HLA-DOB/BANK1/HLA-DQB1/HLA-DQA1/CD40/HLA-DQA2/MEF2C/CD74/HLA-DRA/HLA-DMB/HLA-DPB1/HLA-DMA/HLA-DRB1/HLA-DRB5/HLA-DPA1/CD37"
